from_station,to_station,mileage,train_direction
Wuhan Railway Station,Xianningbei Railway Station,85,down
Xianningbei Railway Station,Changshanan Railway Station,277,down
Changshanan Railway Station,Hengyangdong Railway Station,177,down
Hengyangdong Railway Station,Lechangdong Railway Station,259,down
Lechangdong Railway Station,Guangzhounan Railway Station,271,down
Guangzhounan Railway Station,Humen Railway Station,50,down
Humen Railway Station,Shenzhenbei Railway Station,52,down
Shenzhenbei Railway Station,Guangzhounan Railway Station,102,up
Guangzhounan Railway Station,Shaoguan Railway Station,227,up
Shaoguan Railway Station,Chenzhouxi Railway Station,150,up
Chenzhouxi Railway Station,Changshanan Railway Station,330,up
Changshanan Railway Station,Yueyangdong Railway Station,147,up
Wuhan Railway Station,Chibibei Railway Station,128,down
Chibibei Railway Station,Miluodong Railway Station,157,down
Miluodong Railway Station,Changshanan Railway Station,77,down
Changshanan Railway Station,Yingdexi Railway Station,567,down
Yingdexi Railway Station,Guangzhounan Railway Station,140,down
Shenzhenbei Railway Station,Humen Railway Station,52,up
Humen Railway Station,Guangzhounan Railway Station,50,up
Guangzhounan Railway Station,Chenzhouxi Railway Station,377,up
Chenzhouxi Railway Station,Hengyangdong Railway Station,153,up
Hengyangdong Railway Station,Changshanan Railway Station,177,up
Xianningbei Railway Station,Yueyangdong Railway Station,130,down
Yueyangdong Railway Station,Changshanan Railway Station,147,down
Changshanan Railway Station,Hengshanxi Railway Station,136,down
Hengshanxi Railway Station,Yingdexi Railway Station,344,down
Guangzhounan Railway Station,Shenzhenbei Railway Station,102,down
Shaoguan Railway Station,Leiyangxi Railway Station,248,up
Leiyangxi Railway Station,Changshanan Railway Station,232,up
Changshanan Railway Station,Zhuzhouxi Railway Station,52,down
Zhuzhouxi Railway Station,Hengyangdong Railway Station,125,down
Hengyangdong Railway Station,Chenzhouxi Railway Station,153,down
Chenzhouxi Railway Station,Guangzhoubei Railway Station,330,down
Guangzhoubei Railway Station,Guangzhounan Railway Station,47,down
Guangzhounan Railway Station,Lechangdong Railway Station,1397,up
Lechangdong Railway Station,Hengyangdong Railway Station,867,up
Hengyangdong Railway Station,Zhuzhouxi Railway Station,41,up
Zhuzhouxi Railway Station,Changshanan Railway Station,136,up
Wuhan Railway Station,Yueyangdong Railway Station,128,down
Zhuzhouxi Railway Station,Hengshanxi Railway Station,84,down
Hengshanxi Railway Station,Chenzhouxi Railway Station,194,down
Chenzhouxi Railway Station,Qingyuan Railway Station,294,down
Qingyuan Railway Station,Guangzhounan Railway Station,83,down
Shaoguan Railway Station,Changshanan Railway Station,480,up
Changshanan Railway Station,Nanchangxi Railway Station,302,up
Nanchangxi Railway Station,Shangrao Railway Station,192,up
Shangrao Railway Station,Jinhua Railway Station,282,up
Jinhua Railway Station,Hangzhoudong Railway Station,148,up
Hangzhoudong Railway Station,Shanghaihongqiao Railway Station,159,up
Chenzhouxi Railway Station,Hengshanxi Railway Station,194,up
Hengshanxi Railway Station,Changshanan Railway Station,136,up
Guangzhounan Railway Station,Qingyuan Railway Station,83,up
Qingyuan Railway Station,Chenzhouxi Railway Station,294,up
Chenzhouxi Railway Station,Guangzhounan Railway Station,377,down
Shenzhenbei Railway Station,Qingsheng Railway Station,71,up
Qingsheng Railway Station,Guangzhounan Railway Station,31,up
Chenzhouxi Railway Station,Shaoguan Railway Station,248,down
Shaoguan Railway Station,Guangzhounan Railway Station,227,down
Hengyangdong Railway Station,Leiyangxi Railway Station,55,down
Leiyangxi Railway Station,Shaoguan Railway Station,248,down
Beijingnan Railway Station,Cangzhouxi Railway Station,210,down
Cangzhouxi Railway Station,Dezhoudong Railway Station,104,down
Dezhoudong Railway Station,Jinanxi Railway Station,92,down
Jinanxi Railway Station,Qufudong Railway Station,129,down
Qufudong Railway Station,Zaozhuang Railway Station,92,down
Zaozhuang Railway Station,Suzhoudong Railway Station,133,down
Suzhoudong Railway Station,Nanjingnan Railway Station,263,down
Nanjingnan Railway Station,Zhenjiangnan Railway Station,65,down
Zhenjiangnan Railway Station,Suzhoubei Railway Station,149,down
Suzhoubei Railway Station,Shanghaihongqiao Railway Station,81,down
Changshanan Railway Station,Miluodong Railway Station,147,up
Miluodong Railway Station,Yueyangdong Railway Station,70,up
